ENSG00000151575	FBgn0069913
ENSG00000259900	FBgn0061492
ENSG00000198846	FBgn0035238
ENSG00000092203	FBgn0035238
ENSG00000103460	FBgn0035238
ENSG00000124191	FBgn0035238
ENSG00000159082	FBgn0034691
ENSG00000103160	FBgn0051810
ENSG00000163975	FBgn0034094
ENSG00000091513	FBgn0034094
ENSG00000012223	FBgn0034094
ENSG00000013275	FBgn0028686
ENSG00000172315	FBgn0035590
ENSG00000197757	FBgn0001077
ENSG00000106006	FBgn0001077
ENSG00000108511	FBgn0001077
ENSG00000173145	FBgn0037489
ENSG00000101266	FBgn0264492
ENSG00000254598	FBgn0264492
ENSG00000165792	FBgn0032168
ENSG00000165730	FBgn0020294
ENSG00000173320	FBgn0020294
ENSG00000171634	FBgn0261934
ENSG00000120800	FBgn0034734
ENSG00000197410	FBgn0000497
ENSG00000277075	FBgn0053817
ENSG00000180573	FBgn0053817
ENSG00000278677	FBgn0053817
ENSG00000196866	FBgn0053817
ENSG00000274997	FBgn0053817
ENSG00000278463	FBgn0053817
ENSG00000276368	FBgn0053817
ENSG00000181218	FBgn0053817
ENSG00000188486	FBgn0053817
ENSG00000184260	FBgn0053817
ENSG00000164508	FBgn0053817
ENSG00000184270	FBgn0053817
ENSG00000282988	FBgn0053817
ENSG00000246705	FBgn0053817
ENSG00000272196	FBgn0053817
ENSG00000196787	FBgn0053817
ENSG00000138614	FBgn0031314
ENSG00000112473	FBgn0002022
ENSG00000130165	FBgn0063670
ENSG00000059377	FBgn0000473
ENSG00000072864	FBgn0036059
ENSG00000166579	FBgn0036059
ENSG00000121210	FBgn0034060
ENSG00000075568	FBgn0034060
ENSG00000185261	FBgn0036859
ENSG00000072110	FBgn0000667
ENSG00000248746	FBgn0000667
ENSG00000130402	FBgn0000667
ENSG00000077522	FBgn0000667
ENSG00000031823	FBgn0039110
ENSG00000164188	FBgn0039110
ENSG00000121067	FBgn0030961
ENSG00000144228	FBgn0030961
ENSG00000163960	FBgn0031664
ENSG00000159164	FBgn0051272
ENSG00000122012	FBgn0051272
ENSG00000185518	FBgn0051272
ENSG00000105993	FBgn0034091
ENSG00000172404	FBgn0034091
ENSG00000179407	FBgn0034091
ENSG00000152527	FBgn0264449
ENSG00000054690	FBgn0264449
ENSG00000153767	FBgn0015828
ENSG00000137449	FBgn0264307
ENSG00000113742	FBgn0264307
ENSG00000107864	FBgn0264307
ENSG00000099624	FBgn0028342
ENSG00000099341	FBgn0028693
ENSG00000174839	FBgn0029756
ENSG00000205593	FBgn0029756
ENSG00000182858	FBgn0037743
ENSG00000279081	FBgn0033069
ENSG00000175390	FBgn0033069
ENSG00000163286	FBgn0034711
ENSG00000162551	FBgn0034711
ENSG00000163295	FBgn0034711
ENSG00000163283	FBgn0034711
ENSG00000163444	FBgn0033813
ENSG00000095587	FBgn0004885
ENSG00000038295	FBgn0004885
ENSG00000168487	FBgn0004885
ENSG00000197157	FBgn0035121
ENSG00000144366	FBgn0029092
ENSG00000145293	FBgn0037305
ENSG00000121774	FBgn0022986
ENSG00000112232	FBgn0022986
ENSG00000131773	FBgn0022986
ENSG00000147119	FBgn0051637
ENSG00000122863	FBgn0051637
ENSG00000140835	FBgn0051637
ENSG00000183196	FBgn0051637
ENSG00000135702	FBgn0051637
ENSG00000175040	FBgn0051637
ENSG00000175264	FBgn0051637
ENSG00000011376	FBgn0027085
ENSG00000134453	FBgn0086683
ENSG00000075624	FBgn0000042
ENSG00000184009	FBgn0000042
ENSG00000169067	FBgn0000042
ENSG00000188219	FBgn0000042
ENSG00000161800	FBgn0045843
ENSG00000069869	FBgn0259174
ENSG00000049759	FBgn0259174
ENSG00000120686	FBgn0085220
ENSG00000168883	FBgn0030969
ENSG00000088035	FBgn0032234
ENSG00000157445	FBgn0261999
ENSG00000151062	FBgn0261999
ENSG00000185963	FBgn0000183
ENSG00000151746	FBgn0000183
ENSG00000167220	FBgn0032032
ENSG00000104964	FBgn0001139
ENSG00000065717	FBgn0001139
ENSG00000140332	FBgn0001139
ENSG00000104953	FBgn0001139
ENSG00000004779	FBgn0011361
ENSG00000126602	FBgn0026761
ENSG00000124813	FBgn0002576
ENSG00000020633	FBgn0002576
ENSG00000159216	FBgn0002576
ENSG00000166337	FBgn0028398
ENSG00000089157	FBgn0000100
ENSG00000121644	FBgn0033551
ENSG00000163002	FBgn0030943
ENSG00000163995	FBgn0051352
ENSG00000158856	FBgn0051352
ENSG00000099204	FBgn0051352
ENSG00000173210	FBgn0051352
ENSG00000149084	FBgn0029975
ENSG00000073060	FBgn0035091
ENSG00000157823	FBgn0003008
ENSG00000177879	FBgn0003008
ENSG00000169972	FBgn0083976
ENSG00000108439	FBgn0051473
ENSG00000182446	FBgn0039348
ENSG00000119929	FBgn0038332
ENSG00000158411	FBgn0050398
ENSG00000262660	FBgn0036808
ENSG00000183048	FBgn0036808
ENSG00000110025	FBgn0038588
ENSG00000136643	FBgn0038588
ENSG00000198208	FBgn0038588
ENSG00000064042	FBgn0263346
ENSG00000136153	FBgn0263346
ENSG00000159217	FBgn0262735
ENSG00000073792	FBgn0262735
ENSG00000136231	FBgn0262735
ENSG00000279081	FBgn0037270
ENSG00000175390	FBgn0037270
ENSG00000112304	FBgn0035356
ENSG00000101868	FBgn0259113
ENSG00000050767	FBgn0259244
ENSG00000197467	FBgn0259244
ENSG00000188517	FBgn0259244
ENSG00000135404	FBgn0033629
ENSG00000148606	FBgn0030687
ENSG00000249222	FBgn0031941
ENSG00000167283	FBgn0031941
ENSG00000156875	FBgn0037005
ENSG00000148110	FBgn0037005
ENSG00000196312	FBgn0037005
ENSG00000173638	FBgn0032449
ENSG00000117479	FBgn0032449
ENSG00000135917	FBgn0032449
ENSG00000171681	FBgn0027499
ENSG00000166669	FBgn0027499
ENSG00000163528	FBgn0260468
ENSG00000149474	FBgn0032691
ENSG00000226650	FBgn0011606
ENSG00000090889	FBgn0011606
ENSG00000076242	FBgn0011659
ENSG00000145331	FBgn0031189
ENSG00000073464	FBgn0036566
ENSG00000109572	FBgn0036566
ENSG00000171365	FBgn0036566
ENSG00000138777	FBgn0016687
ENSG00000180817	FBgn0016687
ENSG00000197748	FBgn0036348
ENSG00000120942	FBgn0028375
ENSG00000111358	FBgn0031309
ENSG00000167515	FBgn0033605
ENSG00000164938	FBgn0035542
ENSG00000078804	FBgn0035542
ENSG00000198786	FBgn0013684
ENSG00000137221	FBgn0259224
ENSG00000183092	FBgn0259224
ENSG00000108561	FBgn0034259
ENSG00000278685	FBgn0037712
ENSG00000132321	FBgn0037712
ENSG00000124786	FBgn0036695
ENSG00000173626	FBgn0260859
ENSG00000054116	FBgn0260859
ENSG00000163286	FBgn0030661
ENSG00000162551	FBgn0030661
ENSG00000163295	FBgn0030661
ENSG00000163283	FBgn0030661
ENSG00000120314	FBgn0037943
ENSG00000171132	FBgn0003093
ENSG00000027075	FBgn0003093
ENSG00000183734	FBgn0000137
ENSG00000139352	FBgn0000137
ENSG00000181610	FBgn0260407
ENSG00000260903	FBgn0052579
ENSG00000221947	FBgn0052579
ENSG00000275591	FBgn0052579
ENSG00000171044	FBgn0052579
ENSG00000158156	FBgn0052579
ENSG00000206579	FBgn0052579
ENSG00000157020	FBgn0024509
ENSG00000164961	FBgn0036571
ENSG00000066322	FBgn0037534
ENSG00000164181	FBgn0037534
ENSG00000037637	FBgn0034704
ENSG00000185565	FBgn0017590
ENSG00000172260	FBgn0017590
ENSG00000142549	FBgn0017590
ENSG00000183715	FBgn0017590
ENSG00000182667	FBgn0017590
ENSG00000169271	FBgn0035982
ENSG00000152137	FBgn0035982
ENSG00000254445	FBgn0035982
ENSG00000170276	FBgn0035982
ENSG00000106211	FBgn0035982
ENSG00000138079	FBgn0050360
ENSG00000149196	FBgn0035243
ENSG00000107282	FBgn0052677
ENSG00000011132	FBgn0052677
ENSG00000034053	FBgn0052677
ENSG00000066248	FBgn0261547
ENSG00000142632	FBgn0261547
ENSG00000050327	FBgn0261547
ENSG00000198844	FBgn0261547
ENSG00000130762	FBgn0261547
ENSG00000114790	FBgn0261547
ENSG00000267645	FBgn0032634
ENSG00000228049	FBgn0032634
ENSG00000005075	FBgn0032634
ENSG00000168255	FBgn0032634
ENSG00000270249	FBgn0032634
ENSG00000213741	FBgn0261599
ENSG00000160310	FBgn0032329
ENSG00000168395	FBgn0032516
ENSG00000111653	FBgn0032516
ENSG00000125971	FBgn0024196
ENSG00000172878	FBgn0032247
ENSG00000241119	FBgn0051002
ENSG00000145626	FBgn0051002
ENSG00000167165	FBgn0051002
ENSG00000135220	FBgn0051002
ENSG00000244122	FBgn0051002
ENSG00000242366	FBgn0051002
ENSG00000171234	FBgn0051002
ENSG00000241635	FBgn0051002
ENSG00000244474	FBgn0051002
ENSG00000242515	FBgn0051002
ENSG00000197888	FBgn0051002
ENSG00000196620	FBgn0051002
ENSG00000174607	FBgn0051002
ENSG00000271271	FBgn0051002
ENSG00000240224	FBgn0051002
ENSG00000109181	FBgn0051002
ENSG00000168671	FBgn0051002
ENSG00000213759	FBgn0051002
ENSG00000156096	FBgn0051002
ENSG00000243135	FBgn0051002
ENSG00000135226	FBgn0051002
ENSG00000173610	FBgn0051002
ENSG00000009844	FBgn0035251
ENSG00000021574	FBgn0039141
ENSG00000067167	FBgn0040340
ENSG00000065308	FBgn0040340
ENSG00000174599	FBgn0040340
ENSG00000219200	FBgn0262116
ENSG00000113460	FBgn0035524
ENSG00000132359	FBgn0264895
ENSG00000076864	FBgn0264895
ENSG00000130956	FBgn0046214
ENSG00000142864	FBgn0046214
ENSG00000167774	FBgn0037172
ENSG00000267855	FBgn0037172
ENSG00000145780	FBgn0038286
ENSG00000141965	FBgn0038286
ENSG00000139597	FBgn0027532
ENSG00000078177	FBgn0027532
ENSG00000160326	FBgn0053281
ENSG00000136856	FBgn0053281
ENSG00000164190	FBgn0026401
ENSG00000155066	FBgn0266437
ENSG00000007062	FBgn0266437
ENSG00000162910	FBgn0038678
ENSG00000146433	FBgn0038926
ENSG00000169271	FBgn0035817
ENSG00000152137	FBgn0035817
ENSG00000254445	FBgn0035817
ENSG00000170276	FBgn0035817
ENSG00000106211	FBgn0035817
ENSG00000063438	FBgn0003513
ENSG00000106546	FBgn0003513
ENSG00000178904	FBgn0030946
ENSG00000156162	FBgn0030946
ENSG00000079102	FBgn0005636
ENSG00000129993	FBgn0005636
ENSG00000078699	FBgn0005636
ENSG00000115155	FBgn0266757
ENSG00000214814	FBgn0266757
ENSG00000135218	FBgn0035815
ENSG00000138760	FBgn0035815
ENSG00000186532	FBgn0027495
ENSG00000168172	FBgn0001202
ENSG00000095066	FBgn0001202
ENSG00000134709	FBgn0001202
ENSG00000111364	FBgn0037561
ENSG00000107281	FBgn0265182
ENSG00000112237	FBgn0004597
ENSG00000176125	FBgn0050157
ENSG00000088179	FBgn0261985
ENSG00000070159	FBgn0261985
ENSG00000160179	FBgn0264494
ENSG00000172350	FBgn0264494
ENSG00000137996	FBgn0025630
ENSG00000135250	FBgn0026370
ENSG00000184343	FBgn0026370
ENSG00000096063	FBgn0026370
ENSG00000241553	FBgn0031781
ENSG00000099769	FBgn0243486
ENSG00000090382	FBgn0004429
ENSG00000166035	FBgn0039475
ENSG00000175445	FBgn0039475
ENSG00000101670	FBgn0039475
ENSG00000148734	FBgn0038880
ENSG00000056291	FBgn0038880
ENSG00000126217	FBgn0050440
ENSG00000101977	FBgn0050440
ENSG00000053524	FBgn0050440
ENSG00000174886	FBgn0034576
ENSG00000267740	FBgn0034576
ENSG00000204348	FBgn0260932
ENSG00000181027	FBgn0034567
ENSG00000117308	FBgn0035147
ENSG00000136040	FBgn0025740
ENSG00000164050	FBgn0025740
ENSG00000004399	FBgn0025740
ENSG00000198753	FBgn0025740
ENSG00000196576	FBgn0025740
ENSG00000151148	FBgn0035953
ENSG00000160326	FBgn0033644
ENSG00000136856	FBgn0033644
ENSG00000146109	FBgn0030524
ENSG00000175879	FBgn0003944
ENSG00000120068	FBgn0003944
ENSG00000037965	FBgn0003944
ENSG00000174165	FBgn0039366
ENSG00000144199	FBgn0036346
ENSG00000115042	FBgn0036346
ENSG00000162775	FBgn0027548
ENSG00000259956	FBgn0027548
ENSG00000151694	FBgn0039734
ENSG00000186666	FBgn0035537
ENSG00000178741	FBgn0019624
ENSG00000185104	FBgn0034068
ENSG00000131828	FBgn0029722
ENSG00000163114	FBgn0029722
ENSG00000188603	FBgn0036756
ENSG00000261832	FBgn0036756
ENSG00000158865	FBgn0039873
ENSG00000256870	FBgn0039873
ENSG00000148942	FBgn0039873
ENSG00000154025	FBgn0039873
ENSG00000117834	FBgn0039873
ENSG00000140675	FBgn0039873
ENSG00000198743	FBgn0039873
ENSG00000100191	FBgn0039873
ENSG00000105641	FBgn0039873
ENSG00000138074	FBgn0039873
ENSG00000100170	FBgn0039873
ENSG00000081721	FBgn0031044
ENSG00000176261	FBgn0038893
ENSG00000181045	FBgn0036240
ENSG00000183828	FBgn0261995
ENSG00000182333	FBgn0031533
ENSG00000173239	FBgn0031533
ENSG00000204021	FBgn0031533
ENSG00000107798	FBgn0031533
ENSG00000204022	FBgn0031533
ENSG00000204020	FBgn0031533
ENSG00000132570	FBgn0024841
ENSG00000166228	FBgn0024841
ENSG00000023572	FBgn0036820
ENSG00000110955	FBgn0010217
ENSG00000198720	FBgn0034418
ENSG00000172932	FBgn0034418
ENSG00000076513	FBgn0034418
ENSG00000125652	FBgn0036210
ENSG00000104047	FBgn0039664
ENSG00000115977	FBgn0015772
ENSG00000138756	FBgn0015772
ENSG00000108439	FBgn0051472
ENSG00000100567	FBgn0023175
ENSG00000145864	FBgn0010240
ENSG00000163288	FBgn0010240
ENSG00000268089	FBgn0010240
ENSG00000166206	FBgn0010240
ENSG00000113845	FBgn0010340
ENSG00000022267	FBgn0051988
ENSG00000115641	FBgn0051988
ENSG00000112214	FBgn0051988
ENSG00000183386	FBgn0051988
ENSG00000124299	FBgn0000455
ENSG00000163072	FBgn0259734
ENSG00000169599	FBgn0053502
ENSG00000074201	FBgn0029079
ENSG00000143368	FBgn0015818
ENSG00000105568	FBgn0260439
ENSG00000137713	FBgn0260439
ENSG00000036054	FBgn0031304
ENSG00000169660	FBgn0028499
ENSG00000013503	FBgn0004463
ENSG00000107938	FBgn0035923
ENSG00000179950	FBgn0028577
ENSG00000167524	FBgn0004462
ENSG00000143977	FBgn0261791
ENSG00000131408	FBgn0000546
ENSG00000012504	FBgn0000546
ENSG00000025434	FBgn0000546
ENSG00000061794	FBgn0035374
ENSG00000141316	FBgn0034539
ENSG00000157093	FBgn0034539
ENSG00000167531	FBgn0034539
ENSG00000171489	FBgn0034539
ENSG00000120563	FBgn0034539
ENSG00000275722	FBgn0034539
ENSG00000151033	FBgn0034539
ENSG00000171478	FBgn0034539
ENSG00000180613	FBgn0025776
ENSG00000169840	FBgn0025776
ENSG00000135968	FBgn0037979
ENSG00000144747	FBgn0029912
ENSG00000112282	FBgn0034795
ENSG00000111911	FBgn0031378
ENSG00000140990	FBgn0021967
ENSG00000163479	FBgn0011016
ENSG00000156968	FBgn0026872
ENSG00000261130	FBgn0026872
ENSG00000156515	FBgn0001186
ENSG00000160883	FBgn0001186
ENSG00000106633	FBgn0001186
ENSG00000159399	FBgn0001186
ENSG00000156510	FBgn0001186
ENSG00000159423	FBgn0037138
ENSG00000213977	FBgn0035148
ENSG00000186462	FBgn0040345
ENSG00000204118	FBgn0040345
ENSG00000186310	FBgn0040345
ENSG00000205531	FBgn0040345
ENSG00000187109	FBgn0040345
ENSG00000068976	FBgn0004507
ENSG00000100504	FBgn0004507
ENSG00000100994	FBgn0004507
ENSG00000064763	FBgn0038451
ENSG00000197601	FBgn0038451
ENSG00000182747	FBgn0042641
ENSG00000116704	FBgn0042641
ENSG00000130958	FBgn0042641
ENSG00000105404	FBgn0033468
ENSG00000071205	FBgn0030685
ENSG00000079482	FBgn0030685
ENSG00000145819	FBgn0030685
ENSG00000165895	FBgn0030685
ENSG00000111707	FBgn0031036
ENSG00000241119	FBgn0034605
ENSG00000145626	FBgn0034605
ENSG00000167165	FBgn0034605
ENSG00000135220	FBgn0034605
ENSG00000244122	FBgn0034605
ENSG00000242366	FBgn0034605
ENSG00000171234	FBgn0034605
ENSG00000241635	FBgn0034605
ENSG00000244474	FBgn0034605
ENSG00000242515	FBgn0034605
ENSG00000197888	FBgn0034605
ENSG00000196620	FBgn0034605
ENSG00000174607	FBgn0034605
ENSG00000271271	FBgn0034605
ENSG00000240224	FBgn0034605
ENSG00000109181	FBgn0034605
ENSG00000168671	FBgn0034605
ENSG00000213759	FBgn0034605
ENSG00000156096	FBgn0034605
ENSG00000243135	FBgn0034605
ENSG00000135226	FBgn0034605
ENSG00000173610	FBgn0034605
ENSG00000186193	FBgn0035057
ENSG00000166200	FBgn0013746
ENSG00000146476	FBgn0028892
ENSG00000118579	FBgn0039337
ENSG00000182333	FBgn0032266
ENSG00000173239	FBgn0032266
ENSG00000204021	FBgn0032266
ENSG00000107798	FBgn0032266
ENSG00000204022	FBgn0032266
ENSG00000204020	FBgn0032266
ENSG00000151176	FBgn0016031
ENSG00000121316	FBgn0016031
ENSG00000153048	FBgn0036661
ENSG00000172346	FBgn0036661
ENSG00000142669	FBgn0035772
ENSG00000198478	FBgn0035772
ENSG00000131171	FBgn0035772
ENSG00000185437	FBgn0035772
ENSG00000172890	FBgn0030512
ENSG00000116406	FBgn0032480
ENSG00000146909	FBgn0035336
ENSG00000182557	FBgn0086676
ENSG00000169682	FBgn0086676
ENSG00000183018	FBgn0086676
ENSG00000109686	FBgn0010877
ENSG00000175606	FBgn0035805
ENSG00000189308	FBgn0033846
ENSG00000132749	FBgn0033846
ENSG00000104381	FBgn0035587
ENSG00000124194	FBgn0035587
ENSG00000205423	FBgn0069938
ENSG00000109670	FBgn0041171
ENSG00000125107	FBgn0085436
ENSG00000012211	FBgn0263934
ENSG00000163637	FBgn0263934
ENSG00000139174	FBgn0263934
ENSG00000119041	FBgn0034186
ENSG00000119723	FBgn0031713
ENSG00000149357	FBgn0036932
ENSG00000124496	FBgn0037698
ENSG00000156030	FBgn0037698
ENSG00000118156	FBgn0037698
ENSG00000147133	FBgn0010355
ENSG00000122728	FBgn0010355
ENSG00000010292	FBgn0039680
ENSG00000151117	FBgn0039681
ENSG00000180089	FBgn0039681
ENSG00000196747	FBgn0053859
ENSG00000276903	FBgn0053859
ENSG00000203812	FBgn0053859
ENSG00000275221	FBgn0053859
ENSG00000129151	FBgn0014903
ENSG00000070748	FBgn0000303
ENSG00000167863	FBgn0016120
ENSG00000100288	FBgn0032955
ENSG00000254413	FBgn0032955
ENSG00000110721	FBgn0032955
ENSG00000083544	FBgn0036450
ENSG00000187475	FBgn0053855
ENSG00000124610	FBgn0053855
ENSG00000184357	FBgn0053855
ENSG00000168298	FBgn0053855
ENSG00000187837	FBgn0053855
ENSG00000124575	FBgn0053855
ENSG00000151025	FBgn0264339
ENSG00000277399	FBgn0264339
ENSG00000233608	FBgn0003900
ENSG00000122691	FBgn0003900
ENSG00000062524	FBgn0040505
ENSG00000171094	FBgn0040505
ENSG00000164068	FBgn0038296
ENSG00000167272	FBgn0036696
ENSG00000135083	FBgn0010317
ENSG00000107443	FBgn0010317
ENSG00000145284	FBgn0029172
ENSG00000099194	FBgn0029172
ENSG00000114388	FBgn0030800
ENSG00000183814	FBgn0023509
ENSG00000115350	FBgn0034726
ENSG00000182612	FBgn0037848
ENSG00000100028	FBgn0023167
ENSG00000183853	FBgn0003285
ENSG00000149571	FBgn0003285
ENSG00000126259	FBgn0003285
ENSG00000120549	FBgn0023531
ENSG00000277363	FBgn0023531
ENSG00000158716	FBgn0031952
ENSG00000081377	FBgn0031952
ENSG00000079335	FBgn0031952
ENSG00000113013	FBgn0001220
ENSG00000135677	FBgn0033836
ENSG00000114026	FBgn0027864
ENSG00000146109	FBgn0085693
ENSG00000132388	FBgn0267383
ENSG00000137806	FBgn0039689
ENSG00000159527	FBgn0043575
ENSG00000008438	FBgn0043575
ENSG00000163218	FBgn0043575
ENSG00000105325	FBgn0262699
ENSG00000157954	FBgn0035850
ENSG00000070540	FBgn0035850
ENSG00000085231	FBgn0033754
ENSG00000133961	FBgn0002973
ENSG00000105245	FBgn0002973
ENSG00000254004	FBgn0028878
ENSG00000167635	FBgn0028878
ENSG00000171596	FBgn0037100
ENSG00000132911	FBgn0037100
ENSG00000237763	FBgn0000078
ENSG00000243480	FBgn0000078
ENSG00000174876	FBgn0000078
ENSG00000240038	FBgn0000078
