ENSG00000198888	MT-ND1
ENSG00000163607	GTPBP8
ENSG00000182968	SOX1
ENSG00000108654	DDX5
ENSG00000166908	PIP4K2C
ENSG00000144579	CTDSP1
ENSG00000188676	IDO2
ENSG00000003137	CYP26B1
ENSG00000125388	GRK4
ENSG00000170468	2410016O06RIK
ENSG00000166341	DCHS1
ENSG00000215183	MSMP
ENSG00000148335	NTMT1
ENSG00000033178	UBA6
ENSG00000176973	FAM89B
ENSG00000109066	TMEM104
ENSG00000144339	TMEFF2
ENSG00000198870	STKLD1
ENSG00000132938	MTUS2
ENSG00000188677	PARVB
ENSG00000139132	FGD4
ENSG00000171992	SYNPO
ENSG00000111875	ASF1A
ENSG00000043355	ZIC2
ENSG00000181915	ADO
ENSG00000143450	OAZ3
ENSG00000101981	F9
ENSG00000100297	MCM5
ENSG00000160588	MPZL3
ENSG00000115255	REEP6
ENSG00000258881	TEX261
ENSG00000170276	HSPB2
ENSG00000243244	STON1
ENSG00000186280	KDM4D
ENSG00000113296	THBS4
ENSG00000117475	BLZF1
ENSG00000185189	NRBP2
ENSG00000086205	FOLH1
ENSG00000147454	SLC25A37
ENSG00000141562	NARF
ENSG00000073910	FRY
ENSG00000196975	ANXA4
ENSG00000154114	TBCEL
ENSG00000232040	ZBED5
ENSG00000128652	HOXD3
ENSG00000125434	SLC25A35
ENSG00000151458	ANKRD50
ENSG00000105880	DLX5
ENSG00000102893	PHKB
ENSG00000186063	AIDA
ENSG00000170681	MURC
ENSG00000066405	CLDN18
ENSG00000205279	CTXN3
ENSG00000166676	TVP23A
ENSG00000105137	SYDE1
ENSG00000211974	IGHV8-11
ENSG00000211974	IGHV8-12
ENSG00000211974	IGHV8-6
ENSG00000211974	IGHV8-8
ENSG00000211974	IGHV8-2
ENSG00000211974	IGHV8-13
ENSG00000211974	IGHV8-5
ENSG00000211974	IGHV8-9
ENSG00000211974	IGHV8-4
ENSG00000205643	CDPF1
ENSG00000116675	DNAJC6
ENSG00000167081	PBX3
ENSG00000081791	0610009O20RIK
ENSG00000173221	GLRX
ENSG00000172457	OLFR1006
ENSG00000140367	UBE2Q2
ENSG00000087302	2700060E02RIK
ENSG00000184500	PROS1
ENSG00000167088	SNRPD1
ENSG00000021826	CPS1
ENSG00000166501	PRKCB
ENSG00000272442	TMEM151B
ENSG00000176986	SEC24C
ENSG00000143727	ACP1
ENSG00000111859	NEDD9
ENSG00000169871	TRIM56
ENSG00000213965	NUDT19
ENSG00000159189	C1QC
ENSG00000186943	OLFR272
ENSG00000120658	ENOX1
ENSG00000134759	ELP2
ENSG00000115970	THADA
ENSG00000100220	RTCB
ENSG00000142538	PTH2
ENSG00000091704	CPA1
ENSG00000164675	IQUB
ENSG00000170923	OLFR850
ENSG00000170923	OLFR829
ENSG00000170923	OLFR844
ENSG00000170923	OLFR835
ENSG00000170923	OLFR828
ENSG00000170923	OLFR851
ENSG00000170923	OLFR846
ENSG00000170923	OLFR831-PS1
ENSG00000170923	OLFR847
ENSG00000170923	OLFR836
ENSG00000170923	OLFR843
ENSG00000170923	OLFR849
ENSG00000170923	OLFR855
ENSG00000170923	OLFR854
ENSG00000170923	OLFR830
ENSG00000170923	OLFR845
ENSG00000125999	BPIFB1
ENSG00000091129	NRCAM
ENSG00000182541	LIMK2
ENSG00000099949	LZTR1
ENSG00000212710	CTAGE5
ENSG00000118402	ELOVL4
ENSG00000150712	MTMR12
ENSG00000136378	ADAMTS7
ENSG00000187922	LCN10
ENSG00000113273	ARSB
ENSG00000112299	VNN1
ENSG00000180660	MAB21L1
ENSG00000164458	T
ENSG00000158987	RAPGEF6
ENSG00000180871	CXCR2
ENSG00000180871	CXCR1
ENSG00000102468	HTR2A
ENSG00000002330	BAD
ENSG00000137077	CCL21C
ENSG00000137077	CCL21B
ENSG00000137077	CCL21A
ENSG00000137077	GM10591
ENSG00000137077	GM21541
ENSG00000137077	GM13304
ENSG00000136688	IL1F9
ENSG00000144031	ANKRD53
ENSG00000167965	MLST8
ENSG00000109606	DHX15
ENSG00000197343	ZFP655
ENSG00000169629	RANBP2
ENSG00000129667	RHBDF2
ENSG00000173908	KRT28
ENSG00000141446	ESCO1
ENSG00000177943	MAMDC4
ENSG00000055957	ITIH1
ENSG00000129009	ISLR
ENSG00000136235	GPNMB
ENSG00000133812	SBF2
ENSG00000177051	FBXO46
ENSG00000142661	MYOM3
ENSG00000100490	CDKL1
ENSG00000165006	UBAP1
ENSG00000132561	MATN2
ENSG00000110025	SNX15
ENSG00000171388	APLN
ENSG00000205846	CLEC4N
ENSG00000054148	PHPT1
ENSG00000139433	GLTP
ENSG00000140067	FAM181A
ENSG00000128833	MYO5C
ENSG00000144655	CSRNP1
ENSG00000142615	CELA2A
ENSG00000172940	SLC22A13B-PS
ENSG00000172940	SLC22A13
ENSG00000115020	PIKFYVE
ENSG00000160219	GAB3
ENSG00000132478	UNK
ENSG00000119537	KDSR
ENSG00000080910	CFHR1
ENSG00000169764	UGP2
ENSG00000196600	SLC22A26
ENSG00000196600	SLC22A27
ENSG00000196600	SLC22A30
ENSG00000196600	SLC22A29
ENSG00000196600	SLC22A19
ENSG00000196600	SLC22A28
ENSG00000078124	ACER3
ENSG00000187758	ADH1
ENSG00000151364	KCTD14
ENSG00000163701	IL17RE
ENSG00000166503	HDGFRP3
ENSG00000091137	SLC26A4
ENSG00000082269	FAM135A
ENSG00000048649	RSF1
ENSG00000153815	CMIP
ENSG00000138496	PARP9
ENSG00000143183	TMCO1
ENSG00000164500	4930415F15RIK
ENSG00000127564	PKMYT1
ENSG00000119421	NDUFA8
ENSG00000074181	NOTCH3
ENSG00000132330	SCLY
ENSG00000113272	THG1L
ENSG00000256162	SMLR1
ENSG00000087074	PPP1R15A
ENSG00000071127	WDR1
ENSG00000170873	MTSS1
ENSG00000132467	UTP3
ENSG00000214827	MTCP1
ENSG00000110777	POU2AF1
ENSG00000057149	SERPINB3D
ENSG00000057149	SERPINB3A
ENSG00000057149	SERPINB3B
ENSG00000057149	SERPINB3C
ENSG00000197937	ZFP160
ENSG00000150783	TEX12
ENSG00000156973	PDE6D
ENSG00000230031	ANKRD26
ENSG00000167461	RAB8A
ENSG00000205978	NYNRIN
ENSG00000186815	TPCN1
ENSG00000112787	FBRSL1
ENSG00000172568	FNDC9
ENSG00000184163	FAM132A
ENSG00000272398	CD24A
ENSG00000137094	DNAJB5
ENSG00000173585	CCR9
ENSG00000141428	2700062C07RIK
ENSG00000182287	AP1S2
ENSG00000170537	TMC7
ENSG00000176472	ZFP575
ENSG00000165169	DYNLT3
ENSG00000164074	ABHD18
ENSG00000255072	PIGYL
ENSG00000083807	SLC27A5
ENSG00000175093	SPSB4
ENSG00000165675	ENOX2
ENSG00000188816	HMX2
ENSG00000145088	EAF2
ENSG00000143632	ACTA1
ENSG00000169715	MT2
ENSG00000120686	UFM1
ENSG00000107020	PLGRKT
ENSG00000151876	FBXO4
ENSG00000254004	ZFP260
ENSG00000172831	CES2F
ENSG00000172831	CES2D-PS
ENSG00000172831	CES2H
ENSG00000172831	CES2A
ENSG00000172831	CES2E
ENSG00000172831	CES2G
ENSG00000172831	CES2B
ENSG00000172831	CES2C
ENSG00000188620	HMX3
ENSG00000116497	S100PBP
ENSG00000169064	ZBBX
ENSG00000182256	GABRG3
ENSG00000157827	FMNL2
ENSG00000005249	PRKAR2B
ENSG00000234776	1700029I15RIK
ENSG00000143297	FCRL5
ENSG00000146802	TMEM168
ENSG00000168883	USP39
ENSG00000171659	GPR34
ENSG00000175745	NR2F1
ENSG00000175893	ZDHHC21
ENSG00000178562	CD28
ENSG00000100348	TXN2
ENSG00000164100	NDST3
ENSG00000258806	OLFR748
ENSG00000258806	OLFR746
ENSG00000137801	THBS1
ENSG00000164082	GRM2
ENSG00000163738	MTHFD2L
ENSG00000168000	BSCL2
ENSG00000168702	LRP1B
ENSG00000148634	HERC4
ENSG00000140464	PML
ENSG00000104177	MYEF2
ENSG00000104177	GM9833
ENSG00000108510	MED13
ENSG00000089225	TBX5
ENSG00000162670	BRINP3
ENSG00000122674	CCZ1
ENSG00000198843	SELT
ENSG00000115758	ODC1
ENSG00000104522	TSTA3
ENSG00000123131	PRDX4
ENSG00000204767	FAM196B
ENSG00000173011	TADA2B
ENSG00000206260	PRR23A3
ENSG00000206260	PRR23A1
ENSG00000206260	PRR23A2
ENSG00000163352	LENEP
ENSG00000163449	TMEM169
ENSG00000171643	S100Z
ENSG00000124181	PLCG1
ENSG00000104643	MTMR9
ENSG00000233608	TWIST2
ENSG00000233701	PRR23A3
ENSG00000233701	PRR23A1
ENSG00000233701	PRR23A2
ENSG00000184887	BTBD6
ENSG00000149657	LSM14B
ENSG00000128298	BAIAP2L2
ENSG00000181045	SLC26A11
ENSG00000160888	IER2
ENSG00000124151	NCOA3
ENSG00000186529	CYP4F18
ENSG00000135409	AMHR2
ENSG00000089327	FXYD5
ENSG00000019991	HGF
ENSG00000169692	AGPAT2
ENSG00000183251	OLFR66
ENSG00000067167	TRAM1
ENSG00000163141	BNIPL
ENSG00000145703	IQGAP2
ENSG00000179600	GPHB5
ENSG00000121022	COPS5
ENSG00000064703	DDX20
ENSG00000128059	PPAT
ENSG00000213934	HBB-BH1
ENSG00000145391	SETD7
ENSG00000183747	ACSM2
ENSG00000186298	PPP1CC
ENSG00000176563	CNTD1
ENSG00000164124	TMEM144
ENSG00000086598	TMED2
ENSG00000173406	DAB1
ENSG00000151967	SCHIP1
ENSG00000241489	IDS
ENSG00000189377	CXCL17
ENSG00000206536	OLFR175-PS1
ENSG00000206536	OLFR177
ENSG00000206536	OLFR195
ENSG00000115085	ZAP70
ENSG00000138138	ATAD1
ENSG00000198482	B020011L13RIK
ENSG00000198482	GM7145
ENSG00000007341	ST7L
ENSG00000236104	ZBTB22
ENSG00000205309	NT5M
ENSG00000152689	RASGRP3
ENSG00000160691	SHC1
ENSG00000066855	MTFR1
ENSG00000198873	GRK5
ENSG00000156697	UTP14B
ENSG00000156697	UTP14A
ENSG00000189046	ALKBH2
ENSG00000136271	DDX56
ENSG00000174059	CD34
ENSG00000091262	ABCC6
ENSG00000156482	RPL30
ENSG00000184923	NUTM2
ENSG00000187550	SBK2
ENSG00000124541	RRP36
ENSG00000148702	HABP2
ENSG00000092607	TBX15
ENSG00000164707	SLC13A4
ENSG00000120137	PANK3
ENSG00000102119	EMD
ENSG00000231192	OLFR190
ENSG00000111913	FAM65B
ENSG00000187583	PLEKHN1
ENSG00000198689	SLC9A6
ENSG00000197563	PIGN
ENSG00000166923	GREM1
ENSG00000134247	PTGFRN
ENSG00000140876	NUDT7
ENSG00000106682	EIF4H
ENSG00000110697	PITPNM1
ENSG00000179142	CYP11B2
ENSG00000179142	CYP11B1
ENSG00000174442	ZWILCH
ENSG00000136827	TOR1A
ENSG00000157111	TMEM171
ENSG00000188958	UTS2B
ENSG00000075429	CACNG5
ENSG00000144369	FAM171B
ENSG00000166664	CHRNA7
ENSG00000184492	FOXD4
ENSG00000074590	NUAK1
ENSG00000182054	IDH2
ENSG00000261130	MPV17L
ENSG00000223609	HBB-BT
ENSG00000223609	HBB-BS
ENSG00000184349	EFNA5
ENSG00000151612	ZFP827
ENSG00000264230	ANXA8
ENSG00000182916	TCEAL7
ENSG00000185758	CLDN24
ENSG00000185758	CLDN22
ENSG00000140262	TCF12
ENSG00000140319	SRP14
ENSG00000138182	KIF20B
ENSG00000166169	POLL
ENSG00000071242	RPS6KA2
ENSG00000125266	EFNB2
ENSG00000125037	EMC3
ENSG00000165028	NIPSNAP3A
ENSG00000165028	NIPSNAP3B
ENSG00000172594	SMPDL3A
ENSG00000036549	ZZZ3
ENSG00000112116	IL17F
ENSG00000164902	PHAX
ENSG00000176978	DPP7
ENSG00000198642	KLHL9
ENSG00000203666	EFCAB2
ENSG00000010810	FYN
ENSG00000165197	FIGF
ENSG00000185753	1810030O07RIK
ENSG00000167157	PRRX2
ENSG00000123352	SPATS2
ENSG00000175766	EIF4E1B
ENSG00000128512	DOCK4
ENSG00000132825	PPP1R3D
ENSG00000152359	POC5
ENSG00000116774	OLFML3
ENSG00000162267	ITIH3
ENSG00000183775	KCTD16
ENSG00000174695	TMEM167
ENSG00000221890	NPCD
ENSG00000221890	NPTXR
ENSG00000196570	PFN3
ENSG00000187242	KRT12
ENSG00000196507	TCEAL6
ENSG00000196507	TCEAL3
ENSG00000196507	TCEAL5
ENSG00000087884	AAMDC
ENSG00000169604	ANTXR1
ENSG00000133111	RFXAP
ENSG00000162771	FAM71A
ENSG00000070886	EPHA8
ENSG00000112406	HECA
ENSG00000180423	HARBI1
ENSG00000127311	HELB
ENSG00000204482	LST1
ENSG00000113460	BRIX1
ENSG00000106554	CHCHD3
ENSG00000206053	HN1L
ENSG00000175928	LRRN1
ENSG00000213937	CLDN9
ENSG00000196365	LONP1
ENSG00000010327	STAB1
ENSG00000184227	ACOT3
ENSG00000184227	ACOT5
ENSG00000184227	ACOT1
ENSG00000184227	ACOT2
ENSG00000120868	APAF1
ENSG00000234469	CLDN34B3
ENSG00000234469	CLDN34B1
ENSG00000234469	CLDN34D
ENSG00000234469	CLDN34C3
ENSG00000234469	CLDN34C2
ENSG00000234469	CLDN34A
ENSG00000234469	CLDN34C1
ENSG00000234469	CLDN34B4
ENSG00000234469	CLDN34B2
ENSG00000234469	CLDN34C4
ENSG00000105576	TNPO2
ENSG00000274600	RIMBP3
ENSG00000169217	CD2BP2
ENSG00000178252	WDR6
ENSG00000184507	NUTM1
ENSG00000148300	REXO4
ENSG00000177917	ARL6IP6
ENSG00000120327	PCDHB20
ENSG00000091138	SLC26A3
ENSG00000136870	ZFP189
ENSG00000112462	OLFR109
ENSG00000169710	FASN
ENSG00000164967	RPP25L
ENSG00000137154	RPS6
ENSG00000158457	TSPAN33
ENSG00000204052	LRRC73
ENSG00000138028	CGREF1
ENSG00000257335	MGAM
ENSG00000120910	PPP3CC
ENSG00000143322	ABL2
ENSG00000123552	USP45
ENSG00000198759	EGFL6
ENSG00000074966	TXK
ENSG00000168995	SIGLECE
ENSG00000105825	TFPI2
ENSG00000070814	TCOF1
ENSG00000137285	TUBB2B
ENSG00000198300	PEG3
ENSG00000171346	KRT15
ENSG00000057757	PITHD1
ENSG00000129083	COPB1
ENSG00000258083	OLFR460
ENSG00000119397	CNTRL
ENSG00000150433	TMEM218
ENSG00000165684	SNAPC4
ENSG00000162456	KNCN
ENSG00000186010	NDUFA13
ENSG00000169397	EAR10
ENSG00000169397	EAR14
ENSG00000169397	EAR2
ENSG00000169397	EAR6
ENSG00000169397	EAR1
ENSG00000169397	RNASE2A
ENSG00000169397	RNASE2B
ENSG00000188883	KLRG2
ENSG00000198729	PPP1R14C
ENSG00000146386	ABRACL
ENSG00000172789	HOXC5
ENSG00000156096	UGT2B38
ENSG00000156096	UGT2B34
ENSG00000156096	UGT2B37
ENSG00000156096	UGT2B1
ENSG00000156096	UGT2B35
ENSG00000156096	UGT2B5
ENSG00000156096	UGT2B36
ENSG00000064102	ASUN
ENSG00000175155	YPEL2
ENSG00000204525	H2-M3
ENSG00000204525	H2-M10.1
ENSG00000204525	H2-M11
ENSG00000204525	H2-Q7
ENSG00000204525	H2-M10.5
ENSG00000204525	H2-T10
ENSG00000204525	H2-T23
ENSG00000204525	GM11127
ENSG00000204525	H2-K1
ENSG00000204525	H2-M2
ENSG00000204525	H2-M9
ENSG00000204525	H2-Q1
ENSG00000204525	H2-Q6
ENSG00000204525	H2-M1
ENSG00000204525	H2-Q10
ENSG00000204525	GM7030
ENSG00000204525	H2-Q4
ENSG00000204525	H2-T22
ENSG00000204525	H2-M10.2
ENSG00000204525	H2-M10.3
ENSG00000204525	H2-M10.4
ENSG00000204525	H2-M5
ENSG00000204525	H2-Q5
ENSG00000204525	H2-M10.6
ENSG00000204525	H2-BL
ENSG00000204525	H2-D1
ENSG00000204525	H2-T3
ENSG00000204525	H2-T24
ENSG00000204525	H2-Q2
ENSG00000204525	GM8909
ENSG00000272772	SKP1A
ENSG00000167098	SUN5
ENSG00000163344	PMVK
ENSG00000141200	KIF2B
ENSG00000137714	FDX1
ENSG00000196220	SRGAP3
ENSG00000205922	ONECUT3
ENSG00000168484	SFTPC
ENSG00000107185	RGP1
ENSG00000152670	DDX4
ENSG00000154889	MPPE1
ENSG00000113073	SLC4A9
ENSG00000105737	GRIK5
ENSG00000152076	CCDC74A
ENSG00000178695	KCTD12
ENSG00000125445	MRPS7
ENSG00000221813	OLFR449
ENSG00000163737	PF4
ENSG00000089818	NECAP1
ENSG00000059377	TBXAS1
ENSG00000163328	GPR155
ENSG00000068028	RASSF1
ENSG00000122694	GLIPR2
ENSG00000204291	COL15A1
ENSG00000184945	AQP12
ENSG00000136720	HS6ST1
ENSG00000049167	ERCC8
ENSG00000105204	DYRK1B
ENSG00000149636	DSN1
ENSG00000102996	MMP15
ENSG00000184840	TMED9
ENSG00000127990	SGCE
ENSG00000167080	B4GALNT2
ENSG00000138606	SHF
ENSG00000276911	CFHR1
ENSG00000113269	RNF130
ENSG00000183837	PNMA3
ENSG00000163083	INHBB
ENSG00000134532	SOX5
ENSG00000147697	GSDMC2
ENSG00000147697	GSDMC4
ENSG00000147697	GSDMC
ENSG00000147697	GSDMC3
ENSG00000166391	MOGAT2
ENSG00000176566	DCAF4
ENSG00000105732	ZFP574
ENSG00000168517	HEXIM2
ENSG00000076554	TPD52
ENSG00000116667	1700025G04RIK
ENSG00000110244	APOA4
ENSG00000126821	SGPP1
ENSG00000276819	TRBV17
ENSG00000082068	WDR70
ENSG00000213658	LAT
ENSG00000168582	CRYGA
ENSG00000112796	ENPP5
ENSG00000145365	TIFA
ENSG00000167654	ATCAY
ENSG00000174599	TRAM1L1
ENSG00000101955	SRPX
ENSG00000205426	KRT83
ENSG00000205426	KRT81
ENSG00000205426	KRT86
ENSG00000205426	5430421N21RIK
ENSG00000159224	GIP
ENSG00000197982	1110065P20RIK
ENSG00000169019	COMMD8
ENSG00000124222	STX16
ENSG00000183114	FAM43B
ENSG00000185236	RAB11B
ENSG00000102981	PARD6A
ENSG00000138600	SPPL2A
ENSG00000111405	ENDOU
ENSG00000147649	MTDH
ENSG00000157326	DHRS4
ENSG00000101000	PROCR
ENSG00000170571	EMB
ENSG00000145882	PCYOX1L
ENSG00000131264	CDX4
ENSG00000197114	ZGPAT
ENSG00000159618	ADGRG5
ENSG00000182885	ADGRG3
ENSG00000126883	NUP214
ENSG00000163219	ARHGAP25
ENSG00000118181	RPS25
ENSG00000181092	ADIPOQ
ENSG00000266173	STRADA
ENSG00000085511	MAP3K4
ENSG00000187021	PNLIPRP1
ENSG00000064270	ATP2C2
ENSG00000175970	UNC119B
ENSG00000122705	CLTA
ENSG00000183826	BTBD9
ENSG00000163882	POLR2H
ENSG00000099804	CDC34
ENSG00000099804	CDC34B
ENSG00000180090	OLFR401
ENSG00000180090	OLFR410
ENSG00000180090	OLFR402
ENSG00000185269	NOTUM
ENSG00000143627	PKLR
ENSG00000204542	2300002M23RIK
ENSG00000198910	L1CAM
ENSG00000260027	HOXB7
ENSG00000167037	SGSM1
ENSG00000166947	EPB42
ENSG00000204930	FAM221B
ENSG00000123358	NR4A1
ENSG00000175054	ATR
ENSG00000156925	ZIC3
ENSG00000099365	STX1B
ENSG00000160392	2310022A10RIK
ENSG00000120068	HOXB8
ENSG00000101327	PDYN
ENSG00000164933	SLC25A32
ENSG00000134825	TMEM258
ENSG00000221955	SLC12A8
ENSG00000163531	NFASC
ENSG00000172209	GPR22
ENSG00000283071	A230065H16RIK
ENSG00000136861	CDK5RAP2
ENSG00000171960	GM7879
ENSG00000171960	PPIH
ENSG00000211696	TCRG-V7
ENSG00000118762	PKD2
ENSG00000113312	TTC1
ENSG00000165632	TAF3
ENSG00000021645	NRXN3
ENSG00000155893	PXYLP1
ENSG00000107566	ERLIN1
ENSG00000145050	MANF
ENSG00000186603	HPDL
ENSG00000078246	TULP3
ENSG00000198331	HYLS1
ENSG00000197901	SLC22A6
ENSG00000197416	FABP12
ENSG00000204644	ZFP57
ENSG00000121853	GHSR
ENSG00000258659	TRIM34B
ENSG00000258659	TRIM34A
ENSG00000105821	DNAJC2
ENSG00000173214	G630090E17RIK
ENSG00000173214	AI317395
ENSG00000173214	2010001E11RIK
ENSG00000173214	AA474331
ENSG00000173214	BC021785
ENSG00000165997	ARL5B
ENSG00000082556	OPRK1
ENSG00000135018	UBQLN1
ENSG00000077549	CAPZB
ENSG00000056558	TRAF1
ENSG00000137757	CASP4
ENSG00000154380	ENAH
ENSG00000134824	FADS2
ENSG00000161179	YDJC
ENSG00000170683	OLFR517
ENSG00000170683	OLFR514
ENSG00000170683	OLFR519
ENSG00000170683	OLFR518
ENSG00000170683	OLFR512
ENSG00000170683	OLFR516
ENSG00000101298	SNPH
ENSG00000090615	GOLGA3
ENSG00000144644	GADL1
ENSG00000144649	FAM198A
ENSG00000129518	EAPP
ENSG00000144535	DIS3L2
ENSG00000124370	MCEE
ENSG00000141644	MBD1
ENSG00000170485	NPAS2
ENSG00000104812	GYS1
ENSG00000008294	SPAG9
ENSG00000184209	SNRNP35
ENSG00000184209	1700128F08RIK
ENSG00000121350	PYROXD1
ENSG00000175311	ANKS4B
ENSG00000167757	KLK11
ENSG00000155545	MIER3
ENSG00000197971	MBP
ENSG00000183324	REC114
ENSG00000153823	PID1
ENSG00000145850	TIMD4
ENSG00000237353	PATE4
ENSG00000156103	MMP16
ENSG00000144395	CCDC150
ENSG00000103269	RHBDL1
ENSG00000229769	TRBV13-3
ENSG00000229769	TRBV13-2
ENSG00000229769	TRBV13-1
ENSG00000132591	ERAL1
ENSG00000105321	CCDC9
ENSG00000095066	HOOK2
ENSG00000169402	RSPH10B
ENSG00000162734	PEA15A
ENSG00000120509	PDZD11
ENSG00000213760	ATP6V1G2
ENSG00000185760	KCNQ5
ENSG00000183813	CCR4
ENSG00000240694	PNMA2
ENSG00000204219	TCEA3
ENSG00000143512	HHIPL2
ENSG00000011600	TYROBP
ENSG00000089639	GMIP
ENSG00000188100	FAM25C
ENSG00000176623	RMDN1
ENSG00000167306	MYO5B
ENSG00000125868	DSTN
ENSG00000136044	APPL2
ENSG00000108389	MTMR4
ENSG00000173269	MMRN2
ENSG00000136848	DAB2IP
ENSG00000182326	C1S1
ENSG00000182326	C1S2
ENSG00000156968	MPV17L
ENSG00000119328	FAM206A
ENSG00000147439	BIN3
ENSG00000100162	CENPM
ENSG00000174891	RSRC1
ENSG00000119703	ZC2HC1C
ENSG00000109610	SOD3
ENSG00000157837	SPPL3
ENSG00000164266	SPINK1
ENSG00000114023	FAM162A
ENSG00000095015	MAP3K1
ENSG00000186998	EMID1
ENSG00000104415	WISP1
ENSG00000036565	SLC18A1
ENSG00000163515	RETNLA
ENSG00000163515	RETNLG
ENSG00000163515	RETNLB
ENSG00000112337	SLC17A2
ENSG00000164932	CTHRC1
ENSG00000250067	YJEFN3
ENSG00000174473	GALNTL6
ENSG00000170348	TMED10
ENSG00000134987	WDR36
ENSG00000221989	OLFR437
ENSG00000157766	ACAN
ENSG00000186994	KANK3
ENSG00000135945	REV1
ENSG00000141985	SH3GL1
ENSG00000107014	RLN1
ENSG00000101391	CDK5RAP1
ENSG00000112182	BACH2
ENSG00000120594	PLXDC2
ENSG00000111845	PAK1IP1
ENSG00000119321	FKBP15
ENSG00000138050	THUMPD2
ENSG00000211717	TRBV13-3
ENSG00000211717	TRBV13-2
ENSG00000211717	TRBV13-1
ENSG00000105429	MEGF8
ENSG00000152601	MBNL1
ENSG00000135838	NPL
ENSG00000134575	ACP2
ENSG00000008311	AASS
ENSG00000166233	ARIH1
ENSG00000161798	AQP5
ENSG00000163053	SLC16A14
ENSG00000164209	SLC25A46
ENSG00000100749	VRK1
ENSG00000112309	B3GAT2
ENSG00000203740	METTL11B
ENSG00000144036	EXOC6B
ENSG00000126953	GM9797
ENSG00000126953	TIMM8A1
ENSG00000184007	PTP4A2
ENSG00000125538	IL1B
ENSG00000132388	UBE2G1
ENSG00000100583	SAMD15
ENSG00000132205	EMILIN2
ENSG00000145708	CRHBP
ENSG00000156860	FBRS
ENSG00000100614	PPM1A
ENSG00000117281	CD160
ENSG00000163975	MFI2
ENSG00000125991	ERGIC3
ENSG00000117984	CTSD
ENSG00000128989	ARPP19
ENSG00000127511	SIN3B
ENSG00000062822	POLD1
ENSG00000133943	9030617O03RIK
ENSG00000119943	PYROXD2
ENSG00000119411	BSPRY
ENSG00000251608	OLFR103
ENSG00000251608	OLFR102
ENSG00000251608	OLFR101
ENSG00000133065	SLC41A1
ENSG00000206113	CFAP99
ENSG00000166343	MSS51
ENSG00000161682	FAM171A2
ENSG00000174136	RGMB
ENSG00000115750	TAF1B
ENSG00000163781	TOPBP1
ENSG00000139579	NABP2
ENSG00000182898	TCHHL1
ENSG00000107951	MTPAP
ENSG00000196781	TLE1
ENSG00000091482	SMPX
ENSG00000205116	TMEM88B
ENSG00000167656	LY6D
ENSG00000183682	BMP8A
ENSG00000183682	BMP8B
ENSG00000230667	SET
ENSG00000123453	SARDH
ENSG00000137693	YAP1
ENSG00000147459	DOCK5
ENSG00000112306	RPS12
ENSG00000100968	NFATC4
ENSG00000089250	NOS1
