P63101	YWHAZ
P25962	ADRB3
Q3V132	SLC25A31
Q640N1	AEBP1
Q9Z248	AEBP2
A2AM29	MLLT3
Q9CYR6	PGM3
Q9CY02	AHSP
Q9EQX4	AIF1L
Q8VC28	AKR1C13
Q9DBR0	AKAP8
Q8K023	AKR1C18
P31750	AKT1
O35945	ALDH1A7
P47740	ALDH3A2
P05064	ALDOA
Q9D8C3	ALG13
Q9D081	ALG14
Q9DB25	ALG5
P70389	IGFALS
O70137	ALX3
O35137	ALX4
Q7TS75	AMER1
Q2KHK3	LVRN
P63268	ACTG2
P68134	ACTA1
Q9D9L5	ACTRT2
Q9QYB8	ADD2
Q9QYB5	ADD3
Q9R0X2	ADAMDEC1
P55264	ADK
Q60604	SCIN
Q8C138	ADTRP
Q9CPW2	FDX1L
P46656	FDX1
A2AJA7	MAMDC4
P51569	GLA
Q8VHH5	AGAP3
Q8K2K6	AGFG1
Q8CJG0	AGO2
Q8CJF9	AGO3
O70200	AIF1
P46660	INA
O08915	AIP
A2A3V1	AKAP17B
O55074	AKAP7
Q60662	AKAP4
Q6ZPS6	ANKIB1
Q9JJR5	AKIP1
Q9WUA6	AKT3
Q8BVM7	ALS2CR12
P47739	ALDH3A1
Q80VQ0	ALDH3B1
P30355	ALOX5AP
Q8QZR5	GPT
Q8BGT5	GPT2
P07724	ALB
Q6P6J4	ALKBH2
Q8K1E6	ALKBH3
Q9D8F1	ALKBH4
Q9D6Z0	ALKBH7
Q80Y20	ALKBH8
Q8BS35	AGMO
P97793	ALK
Q9JJW6	ALYREF2
Q8CCJ4	AMER2
Q8JZZ6	AMMECR1L
Q8C2S7	AMIGO3
P00687	AMY1
Q6PD24	ANKRD13D
Q9R182	ANGPTL3
O08538	ANGPT1
P11859	AGT
Q8BZ25	ANKK1
Q69ZU8	ANKRD6
Q6GQX6	ANKS6
Q8K298	ANLN
Q9JIF0	PRMT1
G3UZ78	ADGB
P28474	ADH5
Q8VC66	SSX2IP
Q8VDL4	ADPGK
Q91VH1	ADIPOR1
P51881	SLC25A5
Q9CZI9	AEN
O89020	AFM
Q80WT5	AFTPH
Q91ZE5	ADGRE4
Q8R0T6	ADGRG3
B7ZCC9	ADGRG4
Q3V3Z3	ADGRG5
P30561	AHR
Q91VJ1	AIM2
Q14DN9	ANKDD1B
Q9DCJ7	AURKAIP1
Q60I26	ALS2CL
Q9DBF1	ALDH7A1
Q3TZM9	ALG11
Q8K2U2	ALKBH6
Q07456	AMBP
P63277	AMELX
Q6NS69	AMER3
Q9R049	AMFR
Q80ZD8	AMIGO1
Q80ZD9	AMIGO2
Q8K592	AMHR2
P00688	AMY2
Q6P1H6	ANKLE2
Q8C0W1	ANKMY1
Q6PB70	ANO8
P18293	NPR1
Q3UMR0	ANKRD27
Q8BXP5	ANKRD33
Q569N2	ANKRD37
Q9D2X0	ANKRD39
Q8VE42	ANKRD49
A2ARS0	ANKRD63
P61110	KAP
Q8BIZ1	ANKS1B
P32261	SERPINC1
Q8BVM2	ANTXRL
P97384	ANXA11
P07356	ANXA2
Q8JZQ5	AOC1
Q3TYQ9	AOX4
Q6VUP9	TFAP2E
Q8R2R9	AP3M2
P23578	ACR
P41216	ACSL1
Q9CZW4	ACSL3
Q8JZR0	ACSL5
Q8K0L3	ACSM2
Q3UNX5	ACSM3
P62737	ACTA2
Q8CG27	ACTL9
Q9D9J3	ACTRT1
Q8BXF8	ACTRT3
P61164	ACTR1A
P56375	ACYP2
Q60718	ADAM2
O35227	ADAM7
Q05910	ADAM8
P51830	ADCY9
Q60994	ADIPOQ
Q6PDY2	ADO
P63002	AES
Q8JZQ2	AFG3L2
Q8BXK8	AGAP1
Q3UHD9	AGAP2
Q80WC7	AGFG2
Q7TN31	AGGF1
O88312	AGR2
Q8R3W7	AGR3
Q8C4G9	ADGRA1
Q7TT36	ADGRA3
Q8CGM1	ADGRB2
Q8BK64	AHSA1
Q8R4S6	AHR
P05063	ALDOC
P45376	AKR1B1
Q6R0H6	GNAS
Q8VDB2	ALG12
Q8K2A8	ALG3
O55189	AMBN
Q9JHT5	AMMECR1
Q8K371	AMOTL2
Q8VHG2	AMOT
A2AH22	AMBRA1
P55302	LRPAP1
Q9D3J8	AMTN
Q80UP5	ANKRD13A
Q3UX43	ANKRD13C
Q9EST5	ANP32B
P97822	ANP32E
Q8BLB8	ANKRD34C
P19091	AR
Q810B6	ANKFY1
P97802	ANG3
Q8VCU0	ANGEL1
Q9D2J7	ANKEF1
Q811D2	ANKRD26
Q810N6	ANKRD45
Q3V0J4	ANKRD53
Q91WK7	ANKRD54
P10107	ANXA1
P48036	ANXA5
P14824	ANXA6
Q07076	ANXA7
O35640	ANXA8
O35298	AOAH
P35585	AP1M1
P61967	AP1S1
Q91ZK0	TFAP2D
Q61312	TFAP2C
Q9JME5	AP3B2
Q9WV76	AP4B1
Q8BJ63	AP5M1
Q3U829	AP5Z1
Q8BTZ4	ANAPC5
P09813	APOA2
P06728	APOA4
Q8C7G5	APOA5
Q9Z0X1	AIFM1
Q3TY86	AIFM3
Q9D8B1	AIG1
P31230	AIMP1
Q9Z0E3	AIRE
Q9JII6	AKR1A1
Q9DCT1	AKR1E2
B1AXD8	AKIRIN2
Q80VW7	AKNA
Q60823	AKT2
Q64362	AKTIP
Q9D1F4	AKT1S1
Q62148	ALDH1A2
Q9JHW9	ALDH1A3
P45377	AKR1B8
Q3TAE8	ALG6
Q6P8H8	ALG8
Q8VDI9	ALG9
P0CB42	ALKBH1
Q3TSG4	ALKBH5
P56213	GFER
Q920R0	ALS2
Q8C8B0	ALX1
Q8VCT3	RNPEP
Q3V1D3	AMPD1
Q7TQF7	AMPH
Q5F259	ANKRD13B
P05125	NPPA
Q3TPE9	ANKMY2
Q80UU1	ANKZF1
Q9R144	PRMT2
Q8BH79	ANO10
Q8BHY3	ANO1
Q8C5H1	ANO4
Q75UR0	ANO5
B2RXR6	ANKRD44
Q9QZ10	ANXA10
O35639	ANXA3
P97429	ANXA4
Q8BW75	MAOB
Q9WVP1	AP1M2
Q9DB50	AP1S2
O54774	AP3D1
Q9DCR2	AP3S1
Q80V94	AP4E1
P98084	APBA2
O88888	APBA3
Q9QXJ1	APBB1
Q8R1C9	APBB3
Q9CPX9	ANAPC11
Q8C7N7	APH1B
Q03157	APLP1
Q61268	APOC4
P08226	APOE
Q01339	APOH
Q6PAL7	AHDC1
Q8N9S3	AHSA2
Q9WVE0	AICDA
Q8C4Q6	AIDA
Q8BUE4	AIFM2
Q8R010	AIMP2
Q924K1	AIPL1
Q70FJ1	AKAP9
Q99LF1	AKIRIN1
P24549	ALDH1A1
Q8BH00	ALDH8A1
Q9JLJ2	ALDH9A1
P21300	AKR1B7
P47738	ALDH2
Q8K4E0	ALMS1
Q924C5	ALPK3
O09174	AMACR
Q99JB7	AMN
Q9D4H4	AMOTL1
P16406	ENPEP
Q8BXQ6	AOPEP
Q8BVF9	AMZ1
Q400C8	AMZ2
O35381	ANP32A
Q64G17	ANP32C
P40753	NPPB
Q3TMQ6	ANG4
Q640P2	ANGPTL1
Q9R045	ANGPTL2
Q8R0Z6	ANGPTL6
Q8R1Q3	ANGPTL7
Q8C8R3	ANK2
Q9JHZ2	ANKH
Q9D504	ANKRD7
Q3U3W5	PRMT9
Q8CFW1	ANO2
A2AHL1	ANO3
P86044	ANO9
Q6VVW5	NPR2
Q99LW0	ANKRD10
A2AS55	ANKRD16
Q99NH0	ANKRD17
Q5SUE8	ANKRD40
Q3V096	ANKRD42
Q8BTZ5	ANKRD46
Q8BLD6	ANKRD55
Q8K3X6	ANKS4B
O54754	AOX1
G3X982	AOX3
Q61548	SNAP91
P17427	AP2A2
Q9DBG3	AP2B1
P84091	AP2M1
P34056	TFAP2A
Q3U3N6	ENTHD2
B2RUJ5	APBA1
Q9DAX9	APPBP2
Q9DCZ9	APH1C
O35841	API5
P34928	APOC1
Q05020	APOC2
Q91V80	APOF
Q9CQW7	APOPT1
P55088	AQP4
Q9JM93	ARL6IP4
Q8BH07	ARL6IP6
Q8BSL7	ARF2
P62331	ARF6
Q8K221	ARFIP2
Q8BXL7	ARFRP1
P97433	ARHGEF28
Q66JY6	ARHGEF39
Q61176	ARG1
Q91Y97	ALDOB
Q921Q3	ALG1
Q9DBE8	ALG2
Q9CXB8	ALPK1
P97467	PAM
Q9CPY7	LAP3
Q3UUF8	ANKRD34B
Q8BZQ7	ANAPC2
Q9DAZ9	ZFYVE19
Q9Z1P8	ANGPTL4
Q8R1L8	ANGPTL8
Q02357	ANK1
G5E8K5	ANK3
A2RT91	ANKAR
Q9CR42	ANKRD1
Q9WV06	ANKRD2
Q8BH83	ANKRD9
Q6PAK3	PRMT8
Q6P9J9	ANO6
Q9D3J5	ANKRD22
Q9CQM6	ANKRD61
Q9CZ52	ANTXR1
Q6DFX2	ANTXR2
Q812C9	AOC2
O70423	AOC3
Q64133	MAOA
Q5SGK3	AOX2
O35643	AP1B1
P17426	AP2A1
P62743	AP2S1
Q9JKC8	AP3M1
Q8BSZ2	AP3S2
Q9JKC7	AP4M1
Q9D742	AP5S1
Q9DBR4	APBB2
P28352	APEX1
Q9D842	APLF
Q9JKW0	ARL6IP1
Q9R0Q6	ARPC1A
Q9WV32	ARPC1B
Q9D8S3	ARFGAP3
Q3UPH7	ARHGEF40
Q8C142	LDLRAP1
Q9Z1K5	ARIH1
O88848	ARL6
Q9CQW2	ARL8B
Q9D0L7	ARMC10
Q3URY6	ARMC2
O08739	AMPD3
Q9DBT5	AMPD2
P97449	ANPEP
Q3U0L2	ANKRD33B
Q61839	NPPC
Q64438	ANG2
P21570	ANG
Q9WVH6	ANGPT4
Q3UUE9	ANKUB1
Q922H1	PRMT3
Q922X9	PRMT7
Q14AT5	ANO7
P70180	NPR3
Q812A3	ANKRD23
Q80VM7	ANKRD24
Q505D1	ANKRD28
Q8BTI7	ANKRD52
Q99JG3	ANXA13
O88512	AP1G2
Q9Z1T1	AP3B1
O88879	APAF1
Q8K2H6	ANAPC10
Q8R034	ANAPC13
Q91W96	ANAPC4
Q9D7N9	APMAP
Q8VBT6	APOBR
Q9Z1R3	APOM
Q09PK2	ASPRV1
P56404	AQP8
Q8CFQ3	AQR
P61205	ARF3
P61750	ARF4
Q64364	CDKN2A
O08691	ARG2
Q80X86	ARMC12
A2AU72	ARMC3
Q5EBP3	ARMC5
Q8BNU0	ARMC6
Q9CX83	ARMCX1
Q8K1C0	ANGEL2
O35608	ANGPT2
Q9CZK6	ANKS3
Q8CIG8	PRMT5
Q6NZB1	PRMT6
Q99PE2	ANKRA2
P59672	ANKS1A
Q9JHQ0	ANXA9
P22892	AP1G1
Q7TN05	AP1S3
Q61313	TFAP2B
P60007	ANAPC15
Q9CPV2	ANAPC16
P53995	ANAPC1
Q3U128	APCDD1
Q8R146	APEH
Q9R0R4	APLN
P33622	APOC3
P51910	APOD
Q9JM54	PMAIP1
P08030	APRT
Q8BHH1	AQP11
Q8R2N1	AQP3
Q02013	AQP1
O54794	AQP7
Q9JJJ3	AQP9
Q9D416	ARL13A
Q505B7	ZBTB8OS
Q9WV31	ARC
P84078	ARF1
Q8BW86	ARHGEF33
E9Q7D5	ARHGEF5
Q8K4I3	ARHGEF6
Q9ES28	ARHGEF7
Q9Z206	NET1
Q3UTH8	ARHGEF9
Q8R4H2	ARHGEF12
Q5FWH6	ARHGEF15
Q3U5C8	ARHGEF16
Q8BGK2	ADPRHL1
A2BH40	ARID1A
Q9Z1K6	ARIH2
Q62431	ARID3A
A6PWV5	ARID3C
Q99NG0	RAD54L2
Q8CG76	AKR7A2
Q3SXC5	ARL14
Q9D0J4	ARL2
Q6P068	ARL5C
P59999	ARPC4
Q9WV08	APLNR
Q06335	APLP2
E9Q414	APOB
Q8CHJ2	AQP12
P56402	AQP2
Q9WTY4	AQP5
Q640N2	ARL13B
Q4LDD4	ARAP1
Q8R5G7	ARAP3
A2CG63	ARID4B
Q3U108	ARID5A
Q8BM75	ARID5B
P61208	ARL4C
Q99PE9	ARL4D
Q9DCB4	ARPP21
Q8R2S9	ACTR8
Q9CPW4	ARPC5
Q8BWG8	ARRB1
A0A0B4J1F4	ARRDC4
Q497K5	ARRDC5
Q9D2L1	ARSK
P98203	ARVCF
O35085	ARX
P50295	NAT2
Q9CQ31	ASB11
O35885	ASCL2
Q02067	ASCL1
Q9CQE6	ASF1A
Q8C4A0	AQP6
Q9D385	ARL2BP
Q6PGD0	ATRAID
Q8BZ05	ARAP2
P31955	AREG
Q9EPJ9	ARFGAP1
Q99K28	ARFGAP2
A2AWP8	ARHGEF10L
Q3UL36	ARGLU1
A1IGU4	ARHGEF37
Q80VK6	ARHGEF38
Q61210	ARHGEF1
Q60875	ARHGEF2
Q80U35	ARHGEF17
Q9Z1N7	ARID3B
Q9D7A8	ARMC1
B2RY50	ARMC4
Q3UJZ3	ARMC7
Q9D2I5	ARMC9
A6H630	ARMT1
Q6A058	ARMCX2
Q8K3A6	ARMCX6
Q9CVB6	ARPC2
Q9D0A3	ARPIN
Q7TPQ9	ARRDC3
P50428	ARSA
P50294	NAT1
P50296	NAT3
Q9D738	ASB12
Q8VHS6	ASB15
Q9WV74	ASB1
Q91WR3	ASCC2
Q2TA57	ASPHD1
Q80VP9	ASPHD2
Q99MQ4	ASPN
Q8CG79	TP53BP2
P50289	ACRV1
Q61137	ASTN1
P56380	NUDT2
Q9WVL1	AP4S1
Q3TAP4	AP5B1
Q9Z1K7	APC2
Q9WVM3	ANAPC7
Q61315	APC
Q68G58	APEX2
Q8BVF7	APH1A
Q00623	APOA1
Q7TQC5	APTX
P04627	ARAF
Q99MK8	ADRBK1
Q3UYH7	ADRBK2
Q8CHG5	AREL1
P84084	ARF5
Q91X46	ARHGEF3
Q7TNR9	ARHGEF4
Q8C033	ARHGEF10
Q6P9R4	ARHGEF18
Q9WUL7	ARL3
Q8VEH3	ARL8A
Q8BHS6	ARMCX3
Q61324	ARNT2
P53762	ARNT
Q9D668	ARRDC2
Q32KI9	ARSI
Q9DAP7	ASF1B
Q8C0M9	ASRGL1
P24721	ASGR2
Q925H0	ASIC2
Q9R0Y1	ASIC5
P70158	SMPDL3A
Q04519	SMPD1
Q9DCQ2	ASPDH
P16460	ASS1
Q8C4A5	ASXL3
Q9QZW0	ATP11C
Q8VDN2	ATP1A1
Q6Q477	ATP2B4
A7L9Z8	ATP2C2
Q8BWU8	ETNPPL
Q8R1K4	PHYKPL
Q9D7K5	ATP5SL
Q9CZ05	ATXN7L1
Q9CQQ7	ATP5F1
P81269	ATF1
F6VAN0	ATF6
Q06507	ATF4
Q9CQY1	ATG12
Q8CG72	ADPRHL2
Q6P3A9	ARL11
P61213	ARL4A
Q80ZU0	ARL5A
Q9QZB7	ACTR10
Q9D898	ARPC5L
Q80US4	ACTR5
Q9WV54	ASAH1
Q7SIG6	ASAP2
Q5U464	ASAP3
Q8C6Y6	ASB14
Q8VHS5	ASB16
Q8VHP9	ASB17
Q8VHA6	ASB18
Q8K0L0	ASB2
Q91ZU1	ASB6
Q91ZU0	ASB7
Q91ZT8	ASB9
P34927	ASGR1
O54984	ASNA1
Q8BSY0	ASPH
Q8CJ27	ASPM
Q8BIR2	ASTE1
Q6ZWX0	WDR83OS
Q8QZV7	ASUN
P59598	ASXL1
P14231	ATP1B2
P70704	ATP8A1
A2AWT3	ATXN7L3
P56383	ATP5G2
Q4QY64	ATAD5
Q8BHE3	ATCAY
Q8R0S1	ATF7
Q91YI1	ATG13
Q7TSK7	ADAMTSL2
Q80T21	ADAMTSL4
O08997	ATOX1
P61161	ACTR2
Q641P0	ACTR3B
Q99JY9	ACTR3
Q99KN1	ARRDC1
P50429	ARSB
Q9Z0L2	ARTN
Q9JHE3	ASAH2
Q91ZT7	ASB10
Q9WV72	ASB3
Q9D8Z1	ASCC1
P58242	SMPDL3B
D3KU66	ASMT
Q64191	AGA
Q8BZ32	ASXL2
Q9EPE9	ATP13A1
Q9CTG6	ATP13A2
Q5XF89	ATP13A3
Q3TYU2	ATP13A5
Q9CR84	ATP5G1
A3FIN4	ATP8B5
Q811C2	ATG4C
Q99J83	ATG5
Q6PA06	ATL2
Q8BWA8	ARHGEF19
Q9CWR0	ARHGEF25
Q9QXJ4	ARL10
Q8BGR6	ARL15
P61211	ARL1
Q9D4P0	ARL5B
Q91YI0	ASL
Q9DBR3	ARMC8
Q3UZB0	ARMCX5
P56212	ARPP19
Q9D864	ACTR6
Q9JM76	ARPC3
P20443	SAG
Q3TYD4	ARSG
Q8BM89	ARSJ
Q9JJR7	ASCL3
Q6NXK8	ASIC1
Q7TNS7	ASIC4
D3KU67	ASMT
Q8BFS9	ASNSD1
Q61024	ASNS
Q6HA09	ASTL
Q80Z10	ASTN2
O55143	ATP2A2
G5E829	ATP2B1
Q148W0	ATP8B1
Q9D5T0	ATAD1
Q6UQ17	ATP8B3
Q925I1	ATAD3
Q9CPX6	ATG3
Q68FE2	ATG9A
O35143	ATPIF1
Q8BLI0	ADAMTSL1
Q9CWQ3	XRCC6BP1
Q9CRA7	ATP5S
Q64446	ATP7B
P56480	ATP5B
Q9EQP6	ARR3
Q9QWY8	ASAP1
